model,outcome,term,coefficient,standard_error,p_value,odds_ratio,or_ci_lower,or_ci_upper
Model 1: RIWT only,mortality_7d,const,-2.3315180767260166,0.025585601521411094,0.0,0.09714815673542072,0.0923966150899856,0.10214404876085967
Model 1: RIWT only,mortality_7d,riwt,0.34949864805325664,0.04748569485356551,1.8379612701755076e-13,1.4183562746294014,1.2923062286559912,1.5567010954306193
Model 2: + age and sex,mortality_7d,const,-3.059716778182061,0.11016367007665442,8.872147107867451e-170,0.046900976718984036,0.037792915901357034,0.05820407250226748
Model 2: + age and sex,mortality_7d,riwt,0.3287429619141662,0.04772172861224913,5.628554789015322e-12,1.3892207270552768,1.2651745445646825,1.5254292277466253
Model 2: + age and sex,mortality_7d,age,0.013419934880228761,0.0015766614179121674,1.7152738276210102e-17,1.01351038637113,1.0103832711792549,1.0166471799194288
Model 2: + age and sex,mortality_7d,sex_M,-0.22787225082631662,0.043649936527600186,1.7849022477125126e-07,0.7962259705483884,0.7309395231323742,0.8673437078061917
Model 3: + ICU type,mortality_7d,const,-5.325747295424352,0.1395420084500146,0.0,0.004864714276820547,0.0037006581146783223,0.0063949287563838525
Model 3: + ICU type,mortality_7d,riwt,0.6637893780739553,0.050648496397976694,3.050038618931348e-39,1.942137902829823,1.758603712936187,2.1448263789404898
Model 3: + ICU type,mortality_7d,age,0.016973788251293743,0.0014855400202918939,3.1004642620839443e-30,1.0171186615170689,1.0141615209019998,1.0200844247040235
Model 3: + ICU type,mortality_7d,sex_M,-0.040952686688880746,0.0454425261773601,0.3674833702136928,0.9598745437163748,0.8780792729164313,1.0492892476718403
Model 3: + ICU type,mortality_7d,icu_type_Coronary Care Unit (CCU),2.5375750193655784,0.09705064980488803,1.0684631861682384e-150,12.648960265760905,10.457916391822788,15.299050959128126
Model 3: + ICU type,mortality_7d,icu_type_Intensive Care Unit (ICU),2.889120891201788,1.101256326556391,0.008703726406633196,17.977498475638868,2.0765298380984474,155.63968574492282
Model 3: + ICU type,mortality_7d,icu_type_Medical Intensive Care Unit (MICU),2.496238686354923,0.08972488983051242,2.41522060522347e-170,12.13675784779168,10.179553338355042,14.470270566874984
Model 3: + ICU type,mortality_7d,icu_type_Medical/Surgical Intensive Care Unit (MICU/SICU),2.378205910566208,0.09641911882570424,2.52240679025674e-134,10.785535280653152,8.928316990765587,13.029081674690739
Model 3: + ICU type,mortality_7d,icu_type_Medicine,-20.21699666677152,0.4028656510364125,0.0,1.659089852158688e-09,7.532689102072369e-10,3.654178607714815e-09
Model 3: + ICU type,mortality_7d,icu_type_Medicine/Cardiology Intermediate,-20.360591254612498,1.0041331916120169,2.0618114715120968e-91,1.4371681032473729e-09,2.0081116122751946e-10,1.0285544610000485e-08
Model 3: + ICU type,mortality_7d,icu_type_Neuro Intermediate,-0.8962480416384452,0.9981608949112097,0.36923919900964663,0.40809795743683297,0.057693691370782924,2.886692442571907
Model 3: + ICU type,mortality_7d,icu_type_Neuro Stepdown,-20.265872246097977,0.19331760688323896,0.0,1.579950615990884e-09,1.0816612391926565e-09,2.3077871874498812e-09
Model 3: + ICU type,mortality_7d,icu_type_Neuro Surgical Intensive Care Unit (Neuro SICU),3.168097443531844,0.17435285204254836,8.821434011802984e-74,23.762232333989793,16.88409632360208,33.44233974223431
Model 3: + ICU type,mortality_7d,icu_type_PACU,-20.522734416999487,0.19437208321010577,0.0,1.2220520084460808e-09,8.349104021150225e-10,1.7887082345170715e-09
Model 3: + ICU type,mortality_7d,icu_type_Surgery/Trauma,-20.348881601569317,0.6052946280202152,9.111890833902656e-248,1.4540957581635268e-09,4.4398192111956567e-10,4.7623436300681015e-09
Model 3: + ICU type,mortality_7d,icu_type_Surgery/Vascular/Intermediate,1.0581303501074357,0.7409413090612275,0.1532661589473569,2.8809795277012706,0.6742947626857594,12.309220682619918
Model 3: + ICU type,mortality_7d,icu_type_Surgical Intensive Care Unit (SICU),1.7711160811703677,0.10666616160641894,6.488127590843677e-62,5.877409368110527,4.768607082713794,7.244031701746871
Model 3: + ICU type,mortality_7d,icu_type_Trauma SICU (TSICU),1.9655838825802665,0.10337632294842601,1.3092956608985388e-80,7.139079757781461,5.829726068638945,8.742513659799465
Model 4: + baseline biomarkers,mortality_7d,const,-6.328321608483427,0.1527276556764417,0.0,0.0017850272308594936,0.0013232528240483491,0.00240794665766267
Model 4: + baseline biomarkers,mortality_7d,riwt,0.7628947474408846,0.05549214476946105,5.250396730307743e-43,2.1444749576747393,1.9234724923340742,2.39087008648281
Model 4: + baseline biomarkers,mortality_7d,age,0.0205865163460291,0.0015883278732217825,2.0324428947056796e-38,1.0207998802985907,1.0176270047302143,1.0239826486266184
Model 4: + baseline biomarkers,mortality_7d,sex_M,-0.11650468859800844,0.04801007092355506,0.015238030801582737,0.8900259239931201,0.8100958552492314,0.9778424864747618
Model 4: + baseline biomarkers,mortality_7d,icu_type_Coronary Care Unit (CCU),2.3456401402860254,0.10031943015030274,6.559895281607607e-121,10.439953623864207,8.576429376021814,12.708392606037146
Model 4: + baseline biomarkers,mortality_7d,icu_type_Intensive Care Unit (ICU),2.5670678122887836,1.272829787173164,0.04371436327437711,13.027569104394852,1.0750501062726745,157.86943862385553
Model 4: + baseline biomarkers,mortality_7d,icu_type_Medical Intensive Care Unit (MICU),2.2070602614955193,0.09362103775289109,7.056409523422652e-123,9.08895792128932,7.565257608252213,10.919543044358127
Model 4: + baseline biomarkers,mortality_7d,icu_type_Medical/Surgical Intensive Care Unit (MICU/SICU),2.200466624868353,0.0990076908659041,1.9596857306399062e-109,9.029225777870684,7.436610124435275,10.962914121298711
Model 4: + baseline biomarkers,mortality_7d,icu_type_Medicine,-19.9196672764012,0.42185388464985235,0.0,2.2335640995447983e-09,9.770476463571647e-10,5.106003382102904e-09
Model 4: + baseline biomarkers,mortality_7d,icu_type_Medicine/Cardiology Intermediate,-20.49308711280029,1.0061615819548007,3.242432942354874e-92,1.2588249722440616e-09,1.7519393141655248e-10,9.045063935334145e-09
Model 4: + baseline biomarkers,mortality_7d,icu_type_Neuro Intermediate,-0.8042670752422831,1.0040648513625168,0.423125228992142,0.44741572848200645,0.0625244235323538,3.2016422188922586
Model 4: + baseline biomarkers,mortality_7d,icu_type_Neuro Stepdown,-20.06632826980672,0.2066484489626492,0.0,1.928876226244977e-09,1.2864854587368785e-09,2.892036960779998e-09
Model 4: + baseline biomarkers,mortality_7d,icu_type_Neuro Surgical Intensive Care Unit (Neuro SICU),3.2141221858892974,0.18322897389053894,6.900580770957805e-69,24.881441042026516,17.374437140584174,35.63200944689862
Model 4: + baseline biomarkers,mortality_7d,icu_type_PACU,-21.050873703256727,0.3484675913571002,0.0,7.206455537060602e-10,3.6400350031208016e-10,1.4267170882452065e-09
Model 4: + baseline biomarkers,mortality_7d,icu_type_Surgery/Trauma,-20.161621569107833,0.6085021292025934,9.888421319851923e-241,1.7535534426555738e-09,5.320605448991892e-10,5.7793228716702415e-09
Model 4: + baseline biomarkers,mortality_7d,icu_type_Surgery/Vascular/Intermediate,1.1068090182316643,0.7496043195056754,0.1398031877855649,3.0246912441734235,0.6960119490254214,13.14454031340951
Model 4: + baseline biomarkers,mortality_7d,icu_type_Surgical Intensive Care Unit (SICU),1.5345383754154205,0.10949159231535693,1.2597591197655547e-44,4.6391834744350815,3.7431922788999987,5.749644075402978
Model 4: + baseline biomarkers,mortality_7d,icu_type_Trauma SICU (TSICU),1.8208750395998068,0.10592595885841591,3.1513149580466384e-66,6.17726143399938,5.019166957486281,7.602568144711966
Model 4: + baseline biomarkers,mortality_7d,lactate_first,0.20893926236678395,0.009375999846451918,5.2262542706301346e-110,1.232370145011211,1.2099301617109695,1.2552263117131484
Model 4: + baseline biomarkers,mortality_7d,creatinine_first,0.11671142119351968,0.011731111927279641,2.5503805028067267e-23,1.1237950794497291,1.0982509449826907,1.1499333429804854
Model 4: + baseline biomarkers,mortality_7d,wbc_first,0.010775390530925388,0.0023745076579159245,5.680446033241226e-06,1.01083365413445,1.0061402153496604,1.0155489868533958
Model 4: + baseline biomarkers,mortality_7d,platelet_first,-0.0005378887788975439,0.00023100629560343774,0.01988772304826904,0.9994622558573378,0.9990098377360048,0.9999148788636967
Model 1: RIWT only,mortality_3d,const,-3.059680998153693,0.03513623510751986,0.0,0.04690265486728343,0.04378137617459611,0.050246456959842235
Model 1: RIWT only,mortality_3d,riwt,0.6017734345177158,0.05982719677500388,8.42499843651464e-24,1.8253530758066634,1.6233863118699823,2.0524466832043244
Model 2: + age and sex,mortality_3d,const,-3.591859817732492,0.14637925194514848,5.8035185855765555e-133,0.02754705025960097,0.020676491929646056,0.03670061539389829
Model 2: + age and sex,mortality_3d,riwt,0.5853102981287213,0.05998376920033501,1.708015614680098e-22,1.795548054408044,1.5963891072358904,2.019553253699393
Model 2: + age and sex,mortality_3d,age,0.010058510904372426,0.0021098996417941813,1.8671718564986075e-06,1.010109267761906,1.0059407603336943,1.014295049024586
Model 2: + age and sex,mortality_3d,sex_M,-0.18917330189544607,0.05750606388259148,0.0010032150329627434,0.8276430621540631,0.7394244867319653,0.9263867380957568
Model 3: + ICU type,mortality_3d,const,-5.8421646813482475,0.18712243196289058,5.514271838089318e-214,0.0029025527187139166,0.002011412819213669,0.004188504818323223
Model 3: + ICU type,mortality_3d,riwt,0.8935104304778517,0.062389581998250954,1.6069152673047572e-46,2.4436930264078285,2.162422447495009,2.7615490276804646
Model 3: + ICU type,mortality_3d,age,0.013473858175639099,0.0019522660467343757,5.140173017263855e-12,1.0135650396646252,1.0096941740555432,1.0174507450152335
Model 3: + ICU type,mortality_3d,sex_M,-0.010738988023192016,0.05902607507721052,0.8556326857543834,0.989318469047825,0.8812376233998186,1.110655068746505
Model 3: + ICU type,mortality_3d,icu_type_Coronary Care Unit (CCU),2.495528046115388,0.12858528010342646,6.660106811239847e-84,12.128136043151047,9.426317658433762,15.60436314700004
